index,designation
0,208756 (2002 PK15)
1,599786 (2010 VH190)
2,574476 (2010 RD43)
3,422848 (2002 GU143)
4,344352 (2001 WS68)
5,389544 (2010 LZ82)
6,590621 (2012 HR100)
7,470220 (2006 WD49)
8,507045 (2008 UU256)
9,558324 (2015 AL58)
10,378165 (2006 WC43)
11,500669 (2012 VU39)
12,393974 (2005 UG312)
13,510182 (2011 BB102)
14,407545 (2010 WL48)
15,538463 (2016 EN143)
16,513173 (2004 RQ110)
17,276277 (2002 SL65)
18,414522 (2009 SF54)
19,539740 (2016 UP69)
20,319734 (2006 UN118)
21,254210 (2004 RP89)
22,298557 (2003 XC2)
23,412469 (2014 HE25)
24,541786 (2011 YV30)
25,251827 (1999 TS192)
26,452418 (2002 VF24)
27,240311 (2003 GP9)
28,561119 (2015 PH314)
29,213074 (1999 TH90)
30,330742 (2008 SH65)
31,541858 (2012 BR70)
32,390563 (2001 CU40)
33,402433 (2006 AD61)
34,539135 (2016 NA68)
35,584919 (2017 ST24)
36,319741 (2006 UP135)
37,501808 (2014 WS51)
38,549234 (2011 FX16)
39,239811 (1997 MR2)
40,404662 (2014 HQ123)
41,532967 (2013 YN132)
42,512963 (2017 SQ35)
43,244856 (2003 UK169)
44,401973 (2002 TC251)
45,498740 (2008 TK160)
46,521437 (2015 NN27)
47,385828 (2006 GJ32)
48,271546 (2004 JN17)
49,593353 (2015 MK140)
50,506248 (2016 OJ2)
51,516098 (2015 TK366)
52,343011 (2009 BR90)
53,445691 (2011 UX160)
54,323703 (2005 GF140)
55,556881 (2014 SN58)
56,341292 (2007 RW298)
57,562319 (2015 XU402)
58,424920 (2008 XP21)
59,462071 (2007 EX138)
60,370034 (2000 SB3)
61,553353 (2011 KB19)
62,297658 (2001 TL259)
63,569482 (2005 TU217)
64,491265 (2011 UD299)
65,535113 (2014 WV531)
66,463629 (2013 TP36)
67,500691 (2012 VP94)
68,544091 (2014 SX57)
69,502060 (2015 AB172)
70,220800 (2004 TU222)
71,522242 (2016 AF272)
72,460068 (2014 OY233)
73,390996 (2005 ST89)
74,525530 (2005 GE162)
75,522720 (2016 LA62)
76,487835 (2015 TQ77)
77,579067 (2014 KC126)
78,551507 (2013 EO46)
79,476776 (2008 UH126)
80,365708 (2010 VU149)
81,467687 (2008 UO345)
82,484202 (2006 WL32)
83,411126 (2009 WJ191)
84,348076 (2003 WU39)
85,510080 (2010 KB60)
86,584813 (2017 RQ41)
87,233613 (2007 TT143)
88,435015 (2006 VA53)
89,293115 (2006 XJ29)
90,350194 (2011 WX117)
91,542238 (2013 AZ115)
92,400144 (2006 UE232)
93,379404 (2010 AH23)
94,284197 (2006 BW95)
95,247536 (2002 RV55)
96,283835 (2003 UT34)
97,586370 (2003 BJ99)
98,231006 (2005 EE24)
99,467582 (2007 UK74)
100,474366 (2002 RO85)
101,519833 (2013 JN67)
102,302606 (2002 QU95)
103,414926 (2011 AP45)
104,585547 (2018 VZ45)
105,426487 (2013 RA22)
106,547260 (2010 GL172)
107,424389 (2007 XS19)
108,389531 (2010 JP68)
109,514516 (2016 WW44)
110,452301 (1994 UU9)
111,586166 (2001 YO39)
112,300190 (2006 WV75)
113,399898 (2005 WA141)
114,201801 (2003 WM192)
115,374101 (2004 RO289)
116,353129 (2009 FS59)
117,214791 (2006 UZ174)
118,425091 (2009 SW37)
119,513658 (2011 SO254)
120,237326 (2009 BF161)
121,430969 (2005 WT51)
122,237567 (2001 BD4)
123,467860 (2011 AF5)
124,480737 (2016 NO8)
125,512612 (2016 TP16)
126,557766 (2014 WT218)
127,544870 (2014 WN453)
128,551564 (2013 FC3)
129,396067 (2013 CV71)
130,498229 (2007 UX21)
131,400860 (2010 NQ57)
132,581875 (2015 LO37)
133,203993 (2003 SF323)
134,365209 (2009 HC8)
135,252092 (2000 UL34)
136,460498 (2014 SK313)
137,534662 (2014 UM238)
138,242901 (2006 KC113)
139,413393 (2004 RB164)
140,376264 (2011 FD19)
141,258222 (2001 TH60)
142,204506 (2005 CR56)
143,305353 (2008 BM13)
144,541751 (2011 WR141)
145,267663 (2002 TM142)
146,509329 (2006 WP180)
147,539602 (2016 SD26)
148,533083 (2014 BM60)
149,534420 (2014 TA91)
150,495834 (2000 SN51)
151,442540 (2011 YR12)
152,300499 (2007 TU158)
153,327277 (2005 SJ247)
154,560107 (2015 FR86)
155,417838 (2007 GU56)
156,536497 (2015 DG177)
157,253045 (2002 SZ41)
